pnl,reason,session,dir,entry_time,dca
1.9256934285714373,TRAILING_BE_EXIT,ASIA,SELL,2023-08-22 04:00:00+00:00,0
2.7265692857143016,TRAILING_BE_EXIT,OVERLAP_ASIA_EU,SELL,2023-08-22 07:00:00+00:00,0
-6.131377964285576,12H_ML_CUT,OVERLAP_EU_US,SELL,2023-08-22 15:00:00+00:00,0
-14.930334285714537,SOFT_ATR_STOP,ASIA,SELL,2023-08-23 03:00:00+00:00,0
1.0447193928572356,12H_ML_CUT,US,BUY,2023-08-23 17:00:00+00:00,0
2.235861214285568,TRAILING_BE_EXIT,ASIA,SELL,2023-08-24 05:00:00+00:00,0
-22.719718392857363,SOFT_ATR_STOP,EUROPE,BUY,2023-08-24 09:00:00+00:00,0
-1.6142671428571829,12H_ML_CUT,OVERLAP_EU_US,SELL,2023-08-24 13:00:00+00:00,0
1.2384755714290607,TRAILING_BE_EXIT,ASIA,BUY,2023-08-25 01:00:00+00:00,0
23.617148357142568,TRAILING_BE_EXIT,EUROPE,SELL,2023-08-25 10:00:00+00:00,0
-3.5972330357143165,12H_ML_CUT,US,SELL,2023-08-25 18:00:00+00:00,0
0.7389133928568958,TRAILING_BE_EXIT,ASIA,SELL,2023-08-28 00:00:00+00:00,0
2.192363464285897,TRAILING_BE_EXIT,OVERLAP_ASIA_EU,BUY,2023-08-28 08:00:00+00:00,0
0.6979752142855725,12H_ML_CUT,US,BUY,2023-08-28 16:00:00+00:00,0
2.3060827857137953,TRAILING_BE_EXIT,ASIA,SELL,2023-08-29 04:00:00+00:00,0
-18.8318749285715,SOFT_ATR_STOP,OVERLAP_ASIA_EU,BUY,2023-08-29 08:00:00+00:00,0
-19.047926857142638,SOFT_ATR_STOP,OVERLAP_EU_US,SELL,2023-08-29 14:00:00+00:00,0
-2.071782821428668,12H_ML_CUT,US,BUY,2023-08-29 18:00:00+00:00,0
3.8595338571435773,TRAILING_BE_EXIT,ASIA,BUY,2023-08-30 06:00:00+00:00,0
2.111918785714214,TRAILING_BE_EXIT,US,BUY,2023-08-30 16:00:00+00:00,0
1.1782994999998215,TRAILING_BE_EXIT,ASIA,SELL,2023-08-31 03:00:00+00:00,0
1.9622975714282638,TRAILING_BE_EXIT,US,SELL,2023-08-31 20:00:00+00:00,0
2.2332679285719865,TRAILING_BE_EXIT,ASIA,BUY,2023-09-01 01:00:00+00:00,0
18.517918928570918,TRAILING_BE_EXIT,ASIA,BUY,2023-09-01 03:00:00+00:00,0
-5.709960250000017,SOFT_ATR_STOP,ASIA,SELL,2023-09-04 00:00:00+00:00,0
18.525846000000605,12H_ML_CUT,OVERLAP_ASIA_EU,SELL,2023-09-04 07:00:00+00:00,0
-20.278131000000577,SOFT_ATR_STOP,ASIA,BUY,2023-09-05 00:00:00+00:00,0
13.283621785713924,12H_ML_CUT,EUROPE,SELL,2023-09-05 11:00:00+00:00,0
3.3549775714287495,TRAILING_BE_EXIT,ASIA,BUY,2023-09-06 01:00:00+00:00,0
4.164159999999745,TRAILING_BE_EXIT,OVERLAP_ASIA_EU,BUY,2023-09-06 07:00:00+00:00,0
-0.12603632142852778,12H_ML_CUT,US,SELL,2023-09-06 18:00:00+00:00,0
9.70681735714265,TRAILING_BE_EXIT,ASIA,BUY,2023-09-07 06:00:00+00:00,0
15.276858571428813,12H_ML_CUT,OVERLAP_EU_US,BUY,2023-09-07 15:00:00+00:00,0
1.336680071429119,TRAILING_BE_EXIT,ASIA,SELL,2023-09-08 03:00:00+00:00,0
0.29891192857160304,12H_ML_CUT,US,SELL,2023-09-08 17:00:00+00:00,0
2.561993071428024,TRAILING_BE_EXIT,ASIA,BUY,2023-09-11 00:00:00+00:00,0
-14.163839857143081,SOFT_ATR_STOP,ASIA,SELL,2023-09-11 01:00:00+00:00,0
1.989002928571641,TRAILING_BE_EXIT,ASIA,SELL,2023-09-11 06:00:00+00:00,0
2.343721285714287,TRAILING_BE_EXIT,OVERLAP_EU_US,SELL,2023-09-11 14:00:00+00:00,0
1.80676557142877,TRAILING_BE_EXIT,US,SELL,2023-09-11 17:00:00+00:00,0
4.054347571428568,TRAILING_BE_EXIT,ASIA,SELL,2023-09-12 03:00:00+00:00,0
-0.6034592142857906,12H_ML_CUT,EUROPE,SELL,2023-09-12 12:00:00+00:00,0
-1.1418700714288588,12H_ML_CUT,ASIA,BUY,2023-09-13 01:00:00+00:00,0
9.582955428571378,TRAILING_BE_EXIT,ASIA,SELL,2023-09-14 01:00:00+00:00,0
-7.916633178571373,12H_ML_CUT,US,SELL,2023-09-14 16:00:00+00:00,0
-13.374980785714499,SOFT_ATR_STOP,ASIA,SELL,2023-09-15 04:00:00+00:00,0
-5.449834428571301,12H_ML_CUT,US,BUY,2023-09-15 16:00:00+00:00,0
2.5038109999996467,TRAILING_BE_EXIT,ASIA,BUY,2023-09-18 00:00:00+00:00,0
0.6954722142856672,12H_ML_CUT,ASIA,SELL,2023-09-18 01:00:00+00:00,0
5.967476071428914,12H_ML_CUT,US,BUY,2023-09-18 16:00:00+00:00,0
8.68198607142859,TRAILING_BE_EXIT,ASIA,BUY,2023-09-19 04:00:00+00:00,0
-18.387717107143196,SOFT_ATR_STOP,OVERLAP_EU_US,BUY,2023-09-19 14:00:00+00:00,0
1.6097808214283407,TRAILING_BE_EXIT,ASIA,BUY,2023-09-20 02:00:00+00:00,0
2.112333999999753,TRAILING_BE_EXIT,OVERLAP_ASIA_EU,BUY,2023-09-20 07:00:00+00:00,0
-22.30243585714264,SOFT_ATR_STOP,US,BUY,2023-09-20 16:00:00+00:00,0
-8.3889697499999,SOFT_ATR_STOP,ASIA,BUY,2023-09-21 00:00:00+00:00,0
-4.083734000000088,12H_ML_CUT,OVERLAP_EU_US,SELL,2023-09-21 15:00:00+00:00,0
-9.000945857142817,12H_ML_CUT,ASIA,SELL,2023-09-22 03:00:00+00:00,0
-5.239559571428795,12H_ML_CUT,US,BUY,2023-09-22 16:00:00+00:00,0
-2.9282124642859926,12H_ML_CUT,ASIA,BUY,2023-09-25 00:00:00+00:00,0
20.526533857142688,12H_ML_CUT,OVERLAP_EU_US,SELL,2023-09-25 14:00:00+00:00,0
-9.1526911428571,SOFT_ATR_STOP,ASIA,BUY,2023-09-26 02:00:00+00:00,0
24.452851571428447,TRAILING_BE_EXIT,OVERLAP_ASIA_EU,SELL,2023-09-26 08:00:00+00:00,0
3.0514214285711483,12H_ML_CUT,US,SELL,2023-09-26 19:00:00+00:00,0
-23.356917321428757,SOFT_ATR_STOP,OVERLAP_ASIA_EU,BUY,2023-09-27 07:00:00+00:00,0
28.4345074285712,TRAILING_BE_EXIT,OVERLAP_EU_US,SELL,2023-09-27 13:00:00+00:00,0
1.6522366071429222,TRAILING_BE_EXIT,US,SELL,2023-09-27 20:00:00+00:00,0
-9.998723250000074,12H_ML_CUT,ASIA,BUY,2023-09-28 03:00:00+00:00,0
1.935028535713961,TRAILING_BE_EXIT,US,SELL,2023-09-28 16:00:00+00:00,0
7.105009571428532,TRAILING_BE_EXIT,ASIA,BUY,2023-09-29 04:00:00+00:00,0
-18.66936814285727,SOFT_ATR_STOP,EUROPE,SELL,2023-09-29 12:00:00+00:00,0
22.174558714285595,12H_ML_CUT,OVERLAP_EU_US,SELL,2023-09-29 14:00:00+00:00,0
-10.366149178571442,SOFT_ATR_STOP,ASIA,BUY,2023-10-02 00:00:00+00:00,0
11.168042142857187,12H_ML_CUT,OVERLAP_EU_US,SELL,2023-10-02 15:00:00+00:00,0
6.713034178571398,TRAILING_BE_EXIT,ASIA,BUY,2023-10-03 03:00:00+00:00,0
-4.337601285714326,12H_ML_CUT,US,BUY,2023-10-03 16:00:00+00:00,0
5.583923214285685,TRAILING_BE_EXIT,ASIA,BUY,2023-10-04 04:00:00+00:00,0
4.298075749999951,12H_ML_CUT,US,BUY,2023-10-04 16:00:00+00:00,0
4.871146035714338,TRAILING_BE_EXIT,ASIA,SELL,2023-10-05 04:00:00+00:00,0
-8.752349999999957,SOFT_ATR_STOP,US,SELL,2023-10-05 16:00:00+00:00,0
5.164550714285884,TRAILING_BE_EXIT,ASIA,SELL,2023-10-06 04:00:00+00:00,0
20.856042642857016,TRAILING_BE_EXIT,OVERLAP_ASIA_EU,SELL,2023-10-06 08:00:00+00:00,0
-28.14318110714276,SOFT_ATR_STOP,OVERLAP_EU_US,SELL,2023-10-06 15:00:00+00:00,0
-2.2653447500001747,12H_ML_CUT,ASIA,SELL,2023-10-09 00:00:00+00:00,0
10.599742178571537,12H_ML_CUT,US,BUY,2023-10-09 16:00:00+00:00,0
-7.711040892857159,SOFT_ATR_STOP,ASIA,BUY,2023-10-10 04:00:00+00:00,0
-8.917324428571149,12H_ML_CUT,OVERLAP_EU_US,SELL,2023-10-10 14:00:00+00:00,0
