time,open,high,low,close,tick_volume,spread,real_volume
2025-06-02 17:00:00+00:00,21417.68,21445.46,21399.83,21420.07,10787,181,0
2025-06-02 18:00:00+00:00,21419.78,21498.94,21401.47,21491.29,10029,181,0
2025-06-02 19:00:00+00:00,21491.04,21517.18,21469.81,21507.28,9815,179,0
2025-06-02 20:00:00+00:00,21506.82,21550.44,21500.39,21528.66,4394,183,0
2025-06-02 22:00:00+00:00,21528.97,21531.11,21493.02,21496.62,2168,185,0
2025-06-02 23:00:00+00:00,21496.53,21521.61,21443.53,21472.6,5320,185,0
2025-06-03 00:00:00+00:00,21472.72,21479.01,21451.11,21460.85,3307,185,0
2025-06-03 01:00:00+00:00,21460.57,21480.54,21455.14,21466.63,3415,186,0
2025-06-03 02:00:00+00:00,21466.83,21470.25,21422.7,21447.65,3321,184,0
2025-06-03 03:00:00+00:00,21447.54,21447.54,21417.29,21441.13,2683,187,0
2025-06-03 04:00:00+00:00,21440.88,21443.16,21425.63,21434.31,1824,186,0
2025-06-03 05:00:00+00:00,21434.53,21451.0,21432.57,21443.78,2375,187,0
2025-06-03 06:00:00+00:00,21444.28,21456.76,21418.66,21450.07,3532,187,0
2025-06-03 07:00:00+00:00,21449.64,21461.11,21385.23,21417.38,7395,186,0
2025-06-03 08:00:00+00:00,21417.8,21426.92,21377.67,21422.28,5681,186,0
2025-06-03 09:00:00+00:00,21422.28,21443.53,21409.38,21429.24,4036,187,0
2025-06-03 10:00:00+00:00,21429.13,21472.71,21416.64,21472.71,4269,186,0
2025-06-03 11:00:00+00:00,21473.03,21512.84,21462.6,21505.32,4700,188,0
2025-06-03 12:00:00+00:00,21506.17,21521.5,21482.09,21513.38,5758,187,0
2025-06-03 13:00:00+00:00,21512.97,21584.06,21488.74,21570.17,20492,183,0
2025-06-03 14:00:00+00:00,21570.96,21641.74,21536.41,21639.56,19932,181,0
2025-06-03 15:00:00+00:00,21639.38,21664.07,21629.7,21661.09,9546,180,0
2025-06-03 16:00:00+00:00,21661.14,21724.84,21652.63,21715.57,6690,180,0
2025-06-03 17:00:00+00:00,21715.84,21739.39,21695.64,21697.13,7134,181,0
2025-06-03 18:00:00+00:00,21697.14,21700.63,21616.36,21689.39,12306,182,0
2025-06-03 19:00:00+00:00,21689.92,21704.33,21644.14,21682.88,11040,179,0
2025-06-03 20:00:00+00:00,21683.31,21684.76,21645.1,21667.49,4082,184,0
2025-06-03 22:00:00+00:00,21666.22,21701.41,21665.21,21689.56,2514,186,0
2025-06-03 23:00:00+00:00,21689.61,21699.26,21672.09,21685.91,3185,188,0
2025-06-04 00:00:00+00:00,21685.45,21706.64,21672.15,21679.73,4424,189,0
2025-06-04 01:00:00+00:00,21680.04,21690.8,21653.31,21662.05,3622,187,0
2025-06-04 02:00:00+00:00,21662.43,21667.04,21648.45,21654.36,2677,186,0
2025-06-04 03:00:00+00:00,21654.27,21664.02,21651.06,21660.62,1800,187,0
2025-06-04 04:00:00+00:00,21660.4,21677.03,21654.28,21658.87,1707,185,0
2025-06-04 05:00:00+00:00,21658.89,21676.62,21654.61,21675.56,2123,186,0
2025-06-04 06:00:00+00:00,21676.14,21695.66,21661.34,21671.36,3538,187,0
2025-06-04 07:00:00+00:00,21671.8,21703.28,21655.39,21702.15,4586,187,0
2025-06-04 08:00:00+00:00,21701.83,21729.24,21696.29,21698.53,4319,185,0
2025-06-04 09:00:00+00:00,21698.81,21726.54,21698.35,21717.62,3559,187,0
2025-06-04 10:00:00+00:00,21717.64,21740.29,21701.12,21731.16,3728,186,0
2025-06-04 11:00:00+00:00,21730.89,21736.53,21708.53,21728.28,3311,185,0
2025-06-04 12:00:00+00:00,21728.51,21745.61,21634.59,21689.36,9211,184,0
2025-06-04 13:00:00+00:00,21689.76,21773.3,21680.07,21732.89,16172,184,0
2025-06-04 14:00:00+00:00,21732.5,21745.0,21620.1,21743.07,25833,182,0
2025-06-04 15:00:00+00:00,21743.33,21766.25,21713.69,21736.12,13503,181,0
2025-06-04 16:00:00+00:00,21736.11,21739.59,21688.87,21736.78,10968,182,0
2025-06-04 17:00:00+00:00,21737.02,21773.7,21735.91,21768.91,6281,179,0
2025-06-04 18:00:00+00:00,21769.1,21784.82,21754.87,21766.07,7262,179,0
2025-06-04 19:00:00+00:00,21765.87,21780.76,21731.44,21739.9,9819,176,0
2025-06-04 20:00:00+00:00,21740.3,21747.41,21723.82,21730.71,3653,184,0
2025-06-04 22:00:00+00:00,21727.35,21755.44,21717.07,21734.69,2826,188,0
2025-06-04 23:00:00+00:00,21734.91,21742.32,21722.06,21726.0,2266,189,0
2025-06-05 00:00:00+00:00,21726.35,21750.9,21722.5,21729.71,2805,187,0
2025-06-05 01:00:00+00:00,21729.75,21742.22,21716.44,21741.28,2681,186,0
2025-06-05 02:00:00+00:00,21741.47,21743.39,21722.19,21730.28,2027,187,0
2025-06-05 03:00:00+00:00,21730.25,21741.17,21727.21,21736.52,1879,185,0
2025-06-05 04:00:00+00:00,21736.94,21745.19,21729.54,21733.18,1354,183,0
2025-06-05 05:00:00+00:00,21732.78,21733.46,21710.26,21719.21,2025,186,0
2025-06-05 06:00:00+00:00,21718.62,21728.26,21708.16,21723.47,2498,187,0
2025-06-05 07:00:00+00:00,21723.68,21821.38,21723.6,21796.97,5562,186,0
2025-06-05 08:00:00+00:00,21797.21,21825.44,21758.78,21773.52,4687,188,0
2025-06-05 09:00:00+00:00,21773.67,21774.95,21748.29,21760.99,4002,190,0
2025-06-05 10:00:00+00:00,21760.9,21788.99,21739.0,21761.52,3908,190,0
2025-06-05 11:00:00+00:00,21761.67,21764.89,21730.78,21753.5,4673,186,0
2025-06-05 12:00:00+00:00,21753.01,21881.09,21698.39,21784.42,11548,187,0
2025-06-05 13:00:00+00:00,21783.45,21823.93,21676.42,21707.47,31832,185,0
2025-06-05 14:00:00+00:00,21707.26,21862.32,21688.11,21841.96,32385,185,0
2025-06-05 15:00:00+00:00,21842.28,21916.35,21829.02,21904.46,12589,184,0
2025-06-05 16:00:00+00:00,21904.12,21906.68,21654.94,21671.25,23345,184,0
2025-06-05 17:00:00+00:00,21670.61,21773.19,21644.15,21713.36,15726,183,0
2025-06-05 18:00:00+00:00,21713.83,21723.64,21591.56,21670.54,21075,183,0
2025-06-05 19:00:00+00:00,21670.26,21681.38,21487.77,21573.68,48709,184,0
2025-06-05 20:00:00+00:00,21572.95,21602.84,21496.83,21497.19,10300,186,0
2025-06-05 22:00:00+00:00,21473.87,21544.01,21462.59,21541.75,3890,188,0
2025-06-05 23:00:00+00:00,21541.96,21554.71,21523.59,21529.22,4646,187,0
2025-06-06 00:00:00+00:00,21528.91,21571.7,21528.03,21554.81,5093,190,0
2025-06-06 01:00:00+00:00,21554.99,21583.94,21546.73,21568.06,3929,189,0
2025-06-06 02:00:00+00:00,21568.08,21574.85,21556.78,21572.49,2825,189,0
2025-06-06 03:00:00+00:00,21572.24,21601.03,21563.25,21592.95,2580,188,0
2025-06-06 04:00:00+00:00,21593.26,21636.46,21585.3,21635.03,2354,188,0
2025-06-06 05:00:00+00:00,21634.64,21652.98,21632.84,21640.81,2871,187,0
2025-06-06 06:00:00+00:00,21641.21,21669.24,21613.02,21651.24,4405,191,0
2025-06-06 07:00:00+00:00,21651.47,21663.93,21632.02,21644.05,5486,189,0
2025-06-06 08:00:00+00:00,21643.84,21655.67,21622.03,21645.01,5180,188,0
2025-06-06 09:00:00+00:00,21645.22,21673.42,21635.05,21669.29,3743,188,0
2025-06-06 10:00:00+00:00,21669.49,21677.73,21639.33,21640.84,3518,187,0
2025-06-06 11:00:00+00:00,21640.3,21667.73,21626.57,21654.76,5786,188,0
2025-06-06 12:00:00+00:00,21654.69,21764.74,21647.02,21743.21,11594,189,0
2025-06-06 13:00:00+00:00,21742.78,21845.22,21729.02,21822.89,24029,185,0
2025-06-06 14:00:00+00:00,21823.25,21831.61,21746.53,21802.62,20294,183,0
2025-06-06 15:00:00+00:00,21802.23,21850.07,21719.38,21789.42,19579,183,0
2025-06-06 16:00:00+00:00,21789.0,21816.11,21704.71,21737.95,13390,183,0
2025-06-06 17:00:00+00:00,21737.47,21809.18,21719.98,21804.46,9748,181,0
2025-06-06 18:00:00+00:00,21804.69,21853.99,21804.26,21818.51,9395,182,0
2025-06-06 19:00:00+00:00,21818.24,21830.91,21770.04,21773.37,11063,182,0
2025-06-06 20:00:00+00:00,21773.67,21804.37,21765.53,21790.23,3514,183,0
2025-06-08 22:00:00+00:00,21794.75,21809.84,21721.19,21733.32,6179,190,0
2025-06-08 23:00:00+00:00,21733.44,21762.63,21719.18,21751.98,3626,188,0
2025-06-09 00:00:00+00:00,21752.43,21773.09,21735.46,21738.6,3781,188,0
2025-06-09 01:00:00+00:00,21738.83,21741.59,21721.76,21732.5,2643,186,0
2025-06-09 02:00:00+00:00,21732.41,21745.36,21708.48,21731.94,2754,186,0
2025-06-09 03:00:00+00:00,21731.87,21737.46,21717.2,21734.43,1895,186,0
2025-06-09 04:00:00+00:00,21734.63,21742.89,21722.22,21737.42,2006,187,0
2025-06-09 05:00:00+00:00,21737.21,21738.71,21720.0,21736.33,2230,188,0
2025-06-09 06:00:00+00:00,21736.36,21757.6,21722.41,21756.2,2930,188,0
2025-06-09 07:00:00+00:00,21756.8,21785.43,21739.38,21784.59,4769,187,0
2025-06-09 08:00:00+00:00,21784.17,21789.38,21748.48,21781.38,4145,188,0
2025-06-09 09:00:00+00:00,21781.47,21783.58,21763.22,21769.46,2865,187,0
2025-06-09 10:00:00+00:00,21769.43,21779.89,21753.82,21764.61,2804,182,0
2025-06-09 11:00:00+00:00,21764.23,21813.91,21763.96,21799.36,4588,186,0
2025-06-09 12:00:00+00:00,21799.75,21806.21,21779.32,21785.99,4341,185,0
2025-06-09 13:00:00+00:00,21786.26,21807.92,21740.55,21775.44,17016,184,0
2025-06-09 14:00:00+00:00,21776.03,21876.9,21776.03,21831.25,13180,181,0
2025-06-09 15:00:00+00:00,21831.69,21857.42,21802.24,21827.91,9171,181,0
2025-06-09 16:00:00+00:00,21828.3,21872.14,21804.04,21857.99,7231,181,0
2025-06-09 17:00:00+00:00,21858.0,21869.35,21822.98,21855.23,7600,181,0
2025-06-09 18:00:00+00:00,21855.63,21869.42,21832.77,21860.49,5834,180,0
2025-06-09 19:00:00+00:00,21860.82,21865.98,21803.45,21807.91,8586,181,0
2025-06-09 20:00:00+00:00,21807.49,21813.64,21786.23,21811.05,3040,181,0
2025-06-09 22:00:00+00:00,21818.71,21835.11,21815.64,21816.95,2189,186,0
2025-06-09 23:00:00+00:00,21817.18,21828.89,21817.18,21824.37,1435,187,0
2025-06-10 00:00:00+00:00,21824.3,21863.88,21806.98,21855.37,2810,187,0
2025-06-10 01:00:00+00:00,21855.19,21964.38,21854.87,21957.92,4720,190,0
2025-06-10 02:00:00+00:00,21957.88,21959.8,21935.94,21939.73,2740,188,0
2025-06-10 03:00:00+00:00,21939.45,21944.11,21924.72,21931.42,1742,187,0
2025-06-10 04:00:00+00:00,21931.5,21934.19,21904.13,21909.07,1690,187,0
2025-06-10 05:00:00+00:00,21908.91,21922.12,21748.09,21820.09,10931,189,0
2025-06-10 06:00:00+00:00,21820.64,21830.63,21793.17,21799.96,6495,191,0
2025-06-10 07:00:00+00:00,21799.68,21817.9,21724.96,21786.48,10449,189,0
2025-06-10 08:00:00+00:00,21786.89,21813.91,21753.55,21805.66,7021,187,0
2025-06-10 09:00:00+00:00,21805.46,21833.88,21798.72,21821.72,3937,187,0
2025-06-10 10:00:00+00:00,21821.63,21849.95,21820.64,21833.16,3927,189,0
2025-06-10 11:00:00+00:00,21833.62,21850.77,21797.29,21850.67,5189,186,0
2025-06-10 12:00:00+00:00,21850.19,21859.91,21840.4,21846.76,4181,187,0
2025-06-10 13:00:00+00:00,21847.25,21878.41,21810.97,21850.0,15617,184,0
2025-06-10 14:00:00+00:00,21849.48,21881.75,21840.87,21846.53,11391,181,0
2025-06-10 15:00:00+00:00,21845.88,21870.58,21735.68,21866.91,15678,182,0
2025-06-10 16:00:00+00:00,21866.43,21908.0,21864.23,21901.46,7333,181,0
2025-06-10 17:00:00+00:00,21901.24,21922.18,21859.29,21864.74,7418,182,0
2025-06-10 18:00:00+00:00,21865.14,21957.07,21812.72,21939.49,11545,182,0
2025-06-10 19:00:00+00:00,21939.13,21982.36,21900.7,21954.22,12601,182,0
2025-06-10 20:00:00+00:00,21954.63,21958.41,21925.89,21940.01,4325,186,0
2025-06-10 22:00:00+00:00,21941.95,21975.64,21935.89,21964.93,2354,187,0
2025-06-10 23:00:00+00:00,21965.35,21993.61,21908.81,21946.36,5531,186,0
2025-06-11 00:00:00+00:00,21946.3,21957.37,21903.52,21906.6,4798,188,0
2025-06-11 01:00:00+00:00,21906.57,21915.65,21874.2,21900.08,3852,187,0
2025-06-11 02:00:00+00:00,21899.91,21902.84,21883.99,21886.7,2271,188,0
2025-06-11 03:00:00+00:00,21886.64,21902.1,21879.18,21899.72,2287,188,0
2025-06-11 04:00:00+00:00,21899.62,21907.16,21866.23,21869.87,1975,187,0
2025-06-11 05:00:00+00:00,21870.14,21893.01,21859.48,21874.1,3180,190,0
2025-06-11 06:00:00+00:00,21873.99,21898.08,21868.34,21888.46,3717,190,0
2025-06-11 07:00:00+00:00,21888.68,21927.11,21885.48,21921.56,4860,189,0
2025-06-11 08:00:00+00:00,21921.26,21950.6,21912.43,21935.14,3592,189,0
2025-06-11 09:00:00+00:00,21935.08,21941.38,21907.65,21909.39,3057,186,0
2025-06-11 10:00:00+00:00,21909.21,21931.39,21901.68,21921.86,2967,187,0
2025-06-11 11:00:00+00:00,21922.15,21932.38,21875.16,21923.1,4446,188,0
2025-06-11 12:00:00+00:00,21923.48,22083.37,21880.23,22019.37,17130,188,0
2025-06-11 13:00:00+00:00,22019.63,22034.67,21908.01,21972.9,22458,186,0
2025-06-11 14:00:00+00:00,21973.15,22053.9,21966.16,22048.73,12848,182,0
2025-06-11 15:00:00+00:00,22048.48,22058.37,21969.53,21985.92,13110,182,0
2025-06-11 16:00:00+00:00,21986.17,21998.39,21900.41,21969.69,14600,184,0
2025-06-11 17:00:00+00:00,21969.71,22010.23,21903.47,21909.44,11467,184,0
2025-06-11 18:00:00+00:00,21909.21,21922.84,21782.15,21854.24,34161,186,0
2025-06-11 19:00:00+00:00,21854.55,21884.65,21818.34,21880.37,25729,184,0
2025-06-11 20:00:00+00:00,21880.85,21903.41,21864.46,21875.25,4782,185,0
2025-06-11 22:00:00+00:00,21865.01,21889.87,21822.79,21832.06,4273,185,0
2025-06-11 23:00:00+00:00,21831.52,21861.44,21814.78,21833.79,3817,189,0
2025-06-12 00:00:00+00:00,21834.04,21843.65,21780.54,21799.08,5638,193,0
2025-06-12 01:00:00+00:00,21798.88,21811.02,21752.82,21783.9,5475,189,0
2025-06-12 02:00:00+00:00,21784.11,21790.0,21768.33,21782.26,3027,187,0
